age,educ,sex,degree,satjob,satjob2,income4,rincom91,hrs1,wrkstat,jobinc,impjob,bothft,husbft,husbhr,wifeft,wifehr,id,agecat4
43,12,1,1,2,2,4,18,50,1,2,3,1,1,50,1,40,59,3
28,16,1,3,2,2,3,15,55,1,1,3,0,1,55,0,13,60,1
24,12,2,1,1,1,2,10,55,1,4,2,1,1,43,1,55,61,1
51,19,1,4,1,1,4,21,40,1,3,2,1,1,40,1,40,62,4
57,17,1,3,2,2,4,21,60,1,1,2,0,1,60,0,30,63,4
72,16,1,3,3,2,4,21,40,1,0,2,0,1,#NULL!,0,#NULL!,64,4
32,18,1,4,2,2,4,20,50,1,2,2,0,1,50,0,10,65,2
50,15,1,2,1,1,2,16,40,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,66,4
43,6,1,0,3,2,3,14,50,1,1,2,1,1,50,1,50,67,3
99,18,1,3,1,1,4,22,40,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,68,#NULL!
60,13,1,1,1,1,4,21,50,1,3,2,1,1,50,1,40,69,4
46,16,2,3,1,1,4,22,80,1,3,1,1,1,40,1,80,70,3
27,15,1,1,2,2,3,15,55,1,1,2,1,1,55,1,40,71,1
45,12,2,1,3,2,3,16,40,1,1,3,0,#NULL!,#NULL!,#NULL!,#NULL!,72,3
51,16,1,3,2,2,4,20,65,1,2,3,1,1,65,1,55,73,4
38,16,1,3,1,1,4,19,40,1,3,2,1,1,40,1,70,74,2
44,20,1,4,1,1,4,17,55,1,2,1,1,1,55,1,40,75,3
40,18,1,4,2,2,4,19,55,1,2,2,0,1,55,0,24,76,3
51,12,1,1,1,1,4,16,60,1,3,2,1,1,60,1,60,77,4
59,20,1,4,1,1,4,21,67,1,2,2,1,1,67,1,40,78,4
36,12,1,1,1,1,4,19,75,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,79,2
35,14,1,1,2,2,4,17,40,1,1,2,1,1,40,1,40,80,2
30,14,2,1,1,1,4,14,50,1,0,2,1,1,65,1,50,81,2
32,12,1,1,1,1,4,0,60,1,0,1,0,1,#NULL!,0,#NULL!,82,2
33,16,2,3,2,2,3,18,45,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,83,2
49,20,2,4,2,2,4,22,50,1,2,2,1,1,40,1,50,84,3
56,18,1,4,3,2,4,19,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,85,4
55,20,1,4,1,1,4,21,40,1,3,5,0,1,#NULL!,0,#NULL!,86,4
61,20,2,4,3,2,3,18,40,1,0,3,1,1,35,1,40,87,4
34,16,1,3,1,1,1,8,51,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,88,2
48,16,1,4,3,2,4,21,65,1,4,1,0,1,65,0,8,89,3
43,16,2,3,1,1,4,3,42,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,90,3
38,12,1,1,1,1,4,20,40,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,91,2
31,12,1,1,1,1,2,14,40,1,2,2,0,1,#NULL!,0,#NULL!,92,2
40,16,1,3,2,2,2,16,50,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,93,3
27,17,1,3,3,2,2,16,60,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,94,1
52,16,1,3,2,2,2,15,40,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,95,4
32,12,2,1,2,2,4,17,40,1,3,2,1,1,70,1,40,96,2
55,13,2,1,1,1,4,14,40,1,0,3,1,1,46,1,40,97,4
53,16,2,3,2,2,2,9,40,1,4,1,1,1,60,1,40,98,4
30,16,1,2,1,1,4,18,40,1,2,2,1,1,40,1,40,99,2
34,12,1,1,1,1,3,17,40,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,100,2
43,16,2,3,1,1,3,13,38,1,2,2,1,1,40,1,38,101,3
37,19,1,4,3,2,1,9,46,1,0,1,1,1,46,1,42,102,2
42,12,2,1,1,1,3,11,40,1,0,2,1,1,40,1,40,103,3
66,20,1,4,1,1,4,20,50,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,104,4
57,14,2,2,1,1,3,18,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,105,4
57,18,2,4,1,1,4,10,40,1,3,1,1,1,40,1,40,106,4
36,17,1,3,1,1,2,17,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,107,2
39,17,1,3,1,1,4,21,60,1,1,2,0,1,#NULL!,0,#NULL!,108,2
49,14,2,1,1,1,2,16,40,1,5,1,0,#NULL!,#NULL!,#NULL!,#NULL!,109,3
51,13,2,1,2,2,1,11,40,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,110,4
53,18,1,4,1,1,4,17,50,1,3,1,1,1,50,1,50,111,4
41,13,2,1,2,2,4,4,40,1,1,3,1,1,60,1,40,112,3
38,11,1,0,4,2,2,11,32,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,113,2
59,12,2,1,2,2,4,8,40,1,0,1,0,0,#NULL!,1,#NULL!,114,4
33,14,2,1,4,2,4,15,40,1,3,2,1,1,50,1,40,115,2
50,12,1,1,1,1,4,19,40,1,4,1,1,1,40,1,40,116,4
51,14,2,1,2,2,4,18,40,1,2,3,1,1,40,1,40,117,4
60,12,2,1,2,2,4,15,40,1,1,2,1,1,45,1,40,118,4
41,17,2,3,2,2,4,20,52,1,0,1,1,1,39,1,52,119,3
57,12,1,1,1,1,2,15,40,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,120,4
50,12,2,1,1,1,4,22,35,1,0,4,1,1,50,1,35,121,4
50,16,2,3,2,2,4,22,15,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,122,4
34,16,1,3,3,2,4,22,55,1,3,1,0,1,#NULL!,0,#NULL!,123,2
47,12,2,1,2,2,4,15,55,1,4,2,1,1,50,1,55,124,3
35,19,1,4,1,1,2,14,60,1,5,2,0,1,60,0,20,125,2
37,14,1,2,1,1,2,16,48,1,3,3,0,1,48,0,16,126,2
41,17,2,3,1,1,2,17,99,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,127,3
27,14,2,1,1,1,2,16,60,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,128,1
27,16,2,3,2,2,2,15,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,129,1
50,14,1,2,2,2,4,19,65,1,0,1,0,1,#NULL!,0,#NULL!,130,4
28,16,1,3,4,2,3,16,40,1,3,2,1,1,40,1,40,131,1
31,16,1,3,4,2,3,13,40,1,3,1,1,1,40,1,40,132,2
51,12,1,1,1,1,2,15,46,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,133,4
41,11,1,0,2,2,1,10,40,1,1,1,1,1,40,1,36,134,3
26,15,1,1,2,2,1,11,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,135,1
43,16,1,3,2,2,4,21,40,1,3,1,1,1,40,1,40,136,3
44,16,1,3,1,1,4,20,40,1,4,2,0,1,#NULL!,0,#NULL!,137,3
39,15,1,1,1,1,4,18,50,1,2,3,1,1,50,1,45,138,2
54,16,2,3,1,1,3,17,40,1,1,2,1,1,20,1,40,139,4
47,14,2,1,1,1,3,18,40,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,140,3
47,18,2,4,1,1,4,22,40,1,5,2,1,1,40,1,40,141,3
37,12,2,1,2,2,1,14,40,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,142,2
52,9,2,0,3,2,3,13,59,1,0,4,0,#NULL!,#NULL!,#NULL!,#NULL!,143,4
54,12,2,1,2,2,1,13,40,1,4,1,0,#NULL!,#NULL!,#NULL!,#NULL!,144,4
24,12,2,1,2,2,4,15,44,1,2,2,1,1,89,1,44,145,1
43,13,1,1,1,1,2,15,45,1,4,2,0,1,45,0,25,146,3
41,15,1,1,2,2,4,17,40,1,3,1,1,1,40,1,48,147,3
41,12,2,1,1,1,2,13,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,148,3
46,12,2,1,4,2,2,9,40,1,1,2,1,1,35,1,40,149,3
33,16,1,3,1,1,2,15,45,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,150,2
33,14,2,2,1,1,1,10,80,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,151,2
45,12,2,1,2,2,2,9,40,1,0,2,1,1,50,1,40,152,3
24,16,1,3,2,2,1,10,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,153,1
45,12,1,1,3,2,3,15,44,1,2,2,1,1,44,1,40,154,3
46,12,2,1,3,2,3,18,50,1,2,3,0,#NULL!,#NULL!,#NULL!,#NULL!,155,3
41,20,2,4,3,2,4,17,60,1,0,2,1,1,60,1,60,156,3
37,18,1,4,2,2,4,20,56,1,1,2,1,1,56,1,60,157,2
36,14,2,2,1,1,2,9,41,1,3,2,1,1,89,1,41,158,2
39,16,2,3,2,2,3,18,40,1,3,2,1,1,40,1,40,159,2
52,17,1,3,2,2,3,0,46,1,0,2,1,1,46,1,32,160,4
44,14,1,2,2,2,3,16,40,1,3,2,1,1,40,1,40,161,3
35,19,2,4,1,1,4,20,45,1,2,2,1,1,18,1,45,162,2
26,13,1,1,2,2,2,15,52,1,2,3,0,1,#NULL!,0,#NULL!,163,1
48,12,2,1,1,1,4,11,42,1,2,1,1,1,47,1,42,164,3
26,12,1,1,1,1,1,11,30,1,0,2,1,1,30,1,40,165,1
36,12,1,1,3,2,3,18,44,1,3,4,0,#NULL!,#NULL!,#NULL!,#NULL!,166,2
41,14,1,1,2,2,4,22,53,1,2,2,1,1,53,1,45,167,3
43,12,1,1,1,1,2,16,46,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,168,3
41,16,2,3,2,2,2,15,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,169,3
47,18,1,4,4,2,4,20,65,1,0,3,0,1,#NULL!,0,#NULL!,170,3
49,13,1,1,2,2,2,17,40,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,171,3
58,12,1,1,1,1,2,17,55,1,0,2,1,1,55,1,41,172,4
19,12,2,1,1,1,4,7,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,173,1
35,12,1,1,1,1,3,12,49,1,1,2,1,1,49,1,40,174,2
42,15,1,2,3,2,3,16,40,1,1,3,1,1,40,1,40,175,3
54,12,2,1,1,1,2,16,40,1,4,1,0,#NULL!,#NULL!,#NULL!,#NULL!,176,4
33,16,2,3,1,1,3,15,40,1,0,2,1,1,60,1,40,177,2
26,12,1,1,2,2,1,11,65,1,2,2,0,1,65,0,20,178,1
42,12,1,1,2,2,4,98,42,1,0,2,0,1,#NULL!,0,#NULL!,179,3
34,17,1,3,1,1,2,15,50,1,0,2,0,1,50,0,7,180,2
43,11,1,0,1,1,4,19,42,1,2,2,1,1,42,1,40,181,3
65,14,1,2,2,2,4,18,40,1,4,2,1,1,40,1,50,182,4
22,15,2,1,2,2,1,4,30,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,183,1
41,13,1,1,2,2,2,0,40,1,2,2,1,1,40,1,40,184,3
33,12,1,1,2,2,4,16,50,1,0,2,0,1,50,0,10,185,2
40,12,1,0,2,2,2,15,55,1,0,2,0,1,#NULL!,0,#NULL!,186,3
25,16,1,3,2,2,2,8,48,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,187,1
51,12,1,1,1,1,1,11,55,1,3,1,0,1,55,0,8,188,4
40,12,2,1,1,1,3,18,40,1,2,1,0,0,#NULL!,1,#NULL!,189,3
43,10,1,0,1,1,4,21,56,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,190,3
46,12,1,1,2,2,3,18,50,1,2,1,0,1,#NULL!,0,#NULL!,191,3
37,12,1,1,1,1,3,19,60,1,1,1,0,1,60,0,30,192,2
52,6,1,0,1,1,2,16,45,1,0,2,0,1,#NULL!,0,#NULL!,193,4
25,12,1,1,1,1,1,13,48,1,4,1,0,#NULL!,#NULL!,#NULL!,#NULL!,194,1
46,12,1,1,1,1,3,18,40,1,0,2,0,1,40,0,20,195,3
42,12,1,1,2,2,1,0,38,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,196,3
38,11,1,1,1,1,1,13,48,1,5,3,0,#NULL!,#NULL!,#NULL!,#NULL!,197,2
23,14,1,1,3,2,1,11,40,1,0,1,0,1,#NULL!,0,#NULL!,198,1
59,16,2,3,1,1,3,16,40,1,0,1,1,1,40,1,40,199,4
47,13,1,1,2,2,1,12,56,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,200,3
35,11,1,0,4,2,2,6,35,1,1,2,1,1,35,1,60,201,2
44,12,2,1,1,1,1,14,40,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,202,3
38,14,2,2,1,1,2,13,40,1,3,2,1,1,40,1,40,203,2
36,18,2,4,1,1,4,14,40,1,0,2,1,1,42,1,40,204,2
43,13,1,1,1,1,3,15,52,1,1,2,0,1,52,0,24,205,3
25,12,1,0,3,2,1,0,48,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,206,1
25,14,1,1,3,2,2,11,50,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,207,1
73,14,1,1,1,1,4,0,50,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,208,4
36,16,1,3,1,1,4,22,50,1,2,2,1,1,50,1,45,209,2
35,13,1,1,1,1,4,21,65,1,3,1,1,1,65,1,40,210,2
51,13,2,1,1,1,3,17,60,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,211,4
58,12,2,1,1,1,1,9,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,212,4
40,12,2,1,2,2,1,10,44,1,3,2,1,1,40,1,44,213,3
52,12,1,1,1,1,4,22,40,1,4,1,1,1,40,1,40,214,4
53,13,2,1,1,1,4,9,35,1,1,2,1,1,60,1,35,215,4
38,12,2,1,2,2,2,0,50,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,216,2
38,14,2,2,2,2,3,18,40,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,217,2
58,12,1,1,1,1,2,11,40,1,0,1,1,1,40,1,40,218,4
45,13,2,1,2,2,3,11,45,1,2,3,1,1,70,1,45,219,3
20,12,1,1,2,2,2,4,42,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,220,1
39,14,1,2,1,1,1,8,40,1,2,2,0,1,#NULL!,0,#NULL!,221,2
51,0,2,0,1,1,1,3,20,1,1,2,1,1,40,1,20,222,4
78,18,2,3,1,1,2,16,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,223,4
25,12,2,1,3,2,2,11,40,1,9,2,1,1,40,1,40,224,1
36,19,1,4,2,2,2,17,42,1,1,2,1,1,42,1,40,225,2
23,11,2,0,1,1,4,98,36,1,2,2,0,0,#NULL!,1,#NULL!,226,1
40,12,2,1,1,1,3,7,35,1,2,2,1,1,50,1,35,227,3
31,12,2,1,2,2,1,12,47,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,228,2
51,16,2,3,1,1,2,8,40,1,0,3,1,1,60,1,40,229,4
37,17,1,3,2,2,1,14,40,1,2,1,0,1,#NULL!,0,#NULL!,230,2
47,16,1,3,4,2,3,18,60,1,0,3,1,1,60,1,40,231,3
64,12,1,1,1,1,2,15,40,1,4,2,0,1,#NULL!,0,#NULL!,232,4
27,14,2,2,2,2,2,11,40,1,3,1,1,1,55,1,40,233,1
32,20,2,3,2,2,1,11,60,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,234,2
40,20,1,4,1,1,3,19,48,1,0,1,0,1,48,0,25,235,3
45,17,2,3,1,1,3,18,55,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,236,3
26,12,2,1,1,1,2,15,40,1,0,2,0,0,20,1,40,237,1
46,20,2,4,1,1,2,16,60,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,238,3
32,18,2,4,2,2,1,12,50,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,239,2
36,16,1,3,1,1,2,16,36,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,240,2
30,14,2,1,4,2,1,11,40,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,241,2
51,12,2,1,2,2,1,9,35,1,5,3,0,#NULL!,#NULL!,#NULL!,#NULL!,242,4
40,19,1,4,2,2,4,21,45,1,2,2,1,1,45,1,45,243,3
51,16,1,3,4,2,4,21,60,1,0,2,0,1,60,0,16,244,4
54,16,2,3,1,1,3,10,38,1,2,2,0,0,#NULL!,1,#NULL!,245,4
27,16,1,3,2,2,1,12,40,1,1,2,1,1,40,1,40,246,1
63,17,1,3,2,2,4,21,45,1,2,2,0,1,#NULL!,0,#NULL!,247,4
43,18,2,4,1,1,2,16,40,1,3,1,0,0,#NULL!,1,#NULL!,248,3
44,14,2,2,3,2,3,17,45,1,3,3,0,#NULL!,#NULL!,#NULL!,#NULL!,249,3
32,14,2,1,1,1,4,22,60,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,250,2
50,12,1,1,1,1,3,16,50,1,5,2,0,1,50,0,35,251,4
31,14,2,1,3,2,4,12,40,1,0,1,1,1,42,1,40,252,2
29,14,1,2,1,1,3,18,60,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,253,1
30,11,1,1,1,1,1,11,45,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,254,2
34,15,1,2,4,2,3,16,40,1,9,2,0,#NULL!,#NULL!,#NULL!,#NULL!,255,2
63,12,2,1,2,2,2,14,36,1,1,2,0,0,20,1,36,256,4
55,13,2,1,1,1,3,9,40,1,0,2,1,1,76,1,40,257,4
36,13,1,1,3,2,1,8,40,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,258,2
39,12,1,1,3,2,2,16,55,1,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,259,2
28,19,2,3,2,2,1,5,39,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,260,1
46,14,2,1,2,2,4,16,45,1,3,2,1,1,60,1,45,261,3
39,19,2,4,1,1,3,15,35,1,2,1,1,1,40,1,35,262,2
77,14,2,1,1,1,4,22,40,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,263,4
49,17,1,3,2,2,4,17,36,1,3,2,1,1,36,1,60,264,3
56,18,2,4,2,2,4,19,40,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,265,4
28,12,1,1,1,1,3,14,42,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,266,1
24,12,1,1,2,2,1,2,57,1,3,2,0,1,#NULL!,0,#NULL!,267,1
37,18,2,4,1,1,4,19,50,1,2,2,1,1,60,1,50,268,2
48,12,2,1,3,2,2,12,40,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,269,3
49,15,1,2,2,2,4,14,25,1,0,2,0,1,#NULL!,0,#NULL!,270,3
36,9,1,0,2,2,2,13,44,1,5,3,0,#NULL!,#NULL!,#NULL!,#NULL!,271,2
35,12,1,1,2,2,1,2,40,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,272,2
36,12,2,1,2,2,1,9,40,1,5,2,0,#NULL!,#NULL!,#NULL!,#NULL!,273,2
37,13,2,1,3,2,1,8,40,1,3,1,0,#NULL!,#NULL!,#NULL!,#NULL!,274,2
55,14,1,2,2,2,2,16,40,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,275,4
39,16,1,3,2,2,3,18,40,1,2,2,0,1,40,0,6,276,2
72,12,1,1,1,1,2,17,40,1,4,2,0,1,#NULL!,0,#NULL!,277,4
52,18,2,3,3,2,3,11,45,1,0,2,1,1,55,1,45,278,4
38,13,2,1,1,1,3,16,50,1,0,2,0,0,42,1,50,279,2
52,14,1,2,1,1,4,19,40,1,0,1,1,1,40,1,40,280,4
43,13,1,1,1,1,2,12,65,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,281,3
24,12,1,1,2,2,2,11,42,1,0,2,0,#NULL!,#NULL!,#NULL!,#NULL!,282,1
56,11,2,0,1,1,1,11,44,1,4,2,0,#NULL!,#NULL!,#NULL!,#NULL!,283,4
28,14,2,2,2,2,2,11,38,1,1,3,0,0,#NULL!,1,#NULL!,284,1
40,15,1,2,1,1,3,17,40,1,0,2,1,1,40,1,38,285,3
24,9,1,0,1,1,1,11,37,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,286,1
49,9,1,0,2,2,3,14,45,1,1,2,1,1,45,1,40,287,3
47,12,1,1,2,2,1,11,70,1,0,2,0,1,70,0,20,288,3
35,12,2,1,1,1,3,14,45,1,4,2,1,1,43,1,45,289,2
35,12,1,1,1,1,2,16,50,1,0,2,0,1,50,0,20,290,2
20,12,2,1,2,2,4,5,39,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,291,1
37,14,1,2,3,2,4,14,42,1,4,2,1,1,42,1,60,292,2
51,15,2,1,1,1,2,13,40,1,4,3,1,1,60,1,40,293,4
44,16,1,3,2,2,3,11,60,1,0,2,1,1,60,1,60,294,3
28,16,1,3,2,2,1,14,40,1,1,2,0,#NULL!,#NULL!,#NULL!,#NULL!,295,1
51,13,1,1,1,1,4,22,52,1,3,1,0,1,52,0,25,296,4
37,12,2,1,1,1,2,9,32,1,0,2,1,1,44,1,32,297,2
40,12,2,1,2,2,1,14,46,1,3,2,0,#NULL!,#NULL!,#NULL!,#NULL!,298,3
47,12,1,1,2,2,3,14,70,1,1,2,1,1,70,1,40,299,3
43,14,1,1,1,1,3,19,50,1,0,1,0,1,#NULL!,0,#NULL!,300,3
43,16,2,3,1,1,2,15,60,1,3,2,1,1,50,1,60,301,3
27,13,1,2,3,2,1,8,70,1,1,1,0,#NULL!,#NULL!,#NULL!,#NULL!,302,1
39,16,1,3,1,1,1,12,80,1,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,303,2
