age,educ,sex,degree,satjob,satjob2,income4,rincom91,hrs1,wrkstat,jobinc,impjob,bothft,husbft,husbhr,wifeft,wifehr,id,agecat4
45,14,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$35000-39999,22,Working fulltime,SECOND,One of most important,Yes,yes,22,yes,45,40,40-49
46,20,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,50,Working fulltime,FOURTH,One of most important,Yes,yes,50,yes,40,41,40-49
23,16,Female,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$25000-29999,60,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,42,18-29
27,13,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$35000-39999,55,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,43,18-29
23,16,Female,Bachelor,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$4000-4999,35,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,44,18-29
31,16,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$22500-24999,56,Working fulltime,THIRD,One of most important,No,yes,56,no,24,45,30-39
29,14,Female,Junior college,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,40,Working fulltime,NAP,Somewhat important,No,no,#NULL!,yes,#NULL!,46,18-29
35,16,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",$30000-34999,50,Working fulltime,NAP,Somewhat important,Yes,yes,50,yes,50,47,30-39
36,14,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,54,Working fulltime,SECOND,Very important,Yes,yes,54,yes,32,48,30-39
41,12,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$35000-39999,32,Working fulltime,NAP,Somewhat important,No,yes,#NULL!,no,#NULL!,49,40-49
62,18,Female,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$17500-19999,55,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,50,50+
44,12,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,55,Working fulltime,NAP,One of most important,No,yes,55,no,20,51,40-49
49,15,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,50,Working fulltime,SECOND,Very important,No,yes,50,no,17,52,40-49
62,12,Female,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,38,Working fulltime,SECOND,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,53,50+
45,18,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,50,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,54,40-49
31,16,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$35000-39999,45,Working fulltime,THIRD,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,55,30-39
45,15,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,50,Working fulltime,FOURTH,Somewhat important,Yes,yes,50,yes,40,56,40-49
27,16,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,80,Working fulltime,THIRD,One of most important,Yes,yes,80,yes,40,57,18-29
28,13,Male,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,56,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,58,18-29
43,12,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$40000-49999,50,Working fulltime,SECOND,Somewhat important,Yes,yes,50,yes,40,59,40-49
28,16,Male,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$25000-29999,55,Working fulltime,MOST IMPT,Somewhat important,No,yes,55,no,13,60,18-29
24,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$12500-14999,55,Working fulltime,FOURTH,Very important,Yes,yes,43,yes,55,61,18-29
51,19,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$75000+,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,62,50+
57,17,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,60,Working fulltime,MOST IMPT,Very important,No,yes,60,no,30,63,50+
72,16,Male,Bachelor,A little dissatisfied,Not very satisfied,"60,000 or more",$75000+,40,Working fulltime,NAP,Very important,No,yes,#NULL!,no,#NULL!,64,50+
32,18,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,50,Working fulltime,SECOND,Very important,No,yes,50,no,10,65,30-39
50,15,Male,Junior college,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,66,50+
43,6,Male,Less than HS,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$22500-24999,50,Working fulltime,MOST IMPT,Very important,Yes,yes,50,yes,50,67,40-49
NA,18,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",REFUSED,40,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,68,#NULL!
60,13,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$75000+,50,Working fulltime,THIRD,Very important,Yes,yes,50,yes,40,69,50+
46,16,Female,Bachelor,Very satisfied,Very satisfied,"60,000 or more",REFUSED,80,Working fulltime,THIRD,One of most important,Yes,yes,40,yes,80,70,40-49
27,15,Male,High school,Mod satisfied,Not very satisfied,"40,000 to 59,999",$25000-29999,55,Working fulltime,MOST IMPT,Very important,Yes,yes,55,yes,40,71,18-29
45,12,Female,High school,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,MOST IMPT,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,72,40-49
51,16,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,65,Working fulltime,SECOND,Somewhat important,Yes,yes,65,yes,55,73,50+
38,16,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,70,74,30-39
44,20,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$35000-39999,55,Working fulltime,SECOND,One of most important,Yes,yes,55,yes,40,75,40-49
40,18,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$50000-59999,55,Working fulltime,SECOND,Very important,No,yes,55,no,24,76,40-49
51,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$30000-34999,60,Working fulltime,THIRD,Very important,Yes,yes,60,yes,60,77,50+
59,20,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$75000+,67,Working fulltime,SECOND,Very important,Yes,yes,67,yes,40,78,50+
36,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,75,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,79,30-39
35,14,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$35000-39999,40,Working fulltime,MOST IMPT,Very important,Yes,yes,40,yes,40,80,30-39
30,14,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$22500-24999,50,Working fulltime,NAP,Very important,Yes,yes,65,yes,50,81,30-39
32,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",NAP,60,Working fulltime,NAP,One of most important,No,yes,#NULL!,no,#NULL!,82,30-39
33,16,Female,Bachelor,Mod satisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,45,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,83,30-39
49,20,Female,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,50,Working fulltime,SECOND,Very important,Yes,yes,40,yes,50,84,40-49
56,18,Male,Graduate,A little dissatisfied,Not very satisfied,"60,000 or more",$50000-59999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,85,50+
55,20,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$75000+,40,Working fulltime,THIRD,Not at all important,No,yes,#NULL!,no,#NULL!,86,50+
61,20,Female,Graduate,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,NAP,Somewhat important,Yes,yes,35,yes,40,87,50+
34,16,Male,Bachelor,Very satisfied,Very satisfied,"24,999 or less",$8000-9999,51,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,88,30-39
48,16,Male,Graduate,A little dissatisfied,Not very satisfied,"60,000 or more",$75000+,65,Working fulltime,FOURTH,One of most important,No,yes,65,no,8,89,40-49
43,16,Female,Bachelor,Very satisfied,Very satisfied,"60,000 or more",$3000-3999,42,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,90,40-49
38,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,40,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,91,30-39
31,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$22500-24999,40,Working fulltime,SECOND,Very important,No,yes,#NULL!,no,#NULL!,92,30-39
40,16,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,50,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,93,40-49
27,17,Male,Bachelor,A little dissatisfied,Not very satisfied,"25,000 to 39,999",$30000-34999,60,Working fulltime,MOST IMPT,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,94,18-29
52,16,Male,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,THIRD,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,95,50+
32,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$35000-39999,40,Working fulltime,THIRD,Very important,Yes,yes,70,yes,40,96,30-39
55,13,Female,High school,Very satisfied,Very satisfied,"60,000 or more",$22500-24999,40,Working fulltime,NAP,Somewhat important,Yes,yes,46,yes,40,97,50+
53,16,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$10000-12499,40,Working fulltime,FOURTH,One of most important,Yes,yes,60,yes,40,98,50+
30,16,Male,Junior college,Very satisfied,Very satisfied,"60,000 or more",$40000-49999,40,Working fulltime,SECOND,Very important,Yes,yes,40,yes,40,99,30-39
34,12,Male,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$35000-39999,40,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,100,30-39
43,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$20000-22499,38,Working fulltime,SECOND,Very important,Yes,yes,40,yes,38,101,40-49
37,19,Male,Graduate,A little dissatisfied,Not very satisfied,"24,999 or less",$10000-12499,46,Working fulltime,NAP,One of most important,Yes,yes,46,yes,42,102,30-39
42,12,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$15000-17499,40,Working fulltime,NAP,Very important,Yes,yes,40,yes,40,103,40-49
66,20,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,50,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,104,50+
57,14,Female,Junior college,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,105,50+
57,18,Female,Graduate,Very satisfied,Very satisfied,"60,000 or more",$12500-14999,40,Working fulltime,THIRD,One of most important,Yes,yes,40,yes,40,106,50+
36,17,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$35000-39999,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,107,30-39
39,17,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",$75000+,60,Working fulltime,MOST IMPT,Very important,No,yes,#NULL!,no,#NULL!,108,30-39
49,14,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,40,Working fulltime,FIFTH,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,109,40-49
51,13,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$15000-17499,40,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,110,50+
53,18,Male,Graduate,Very satisfied,Very satisfied,"60,000 or more",$35000-39999,50,Working fulltime,THIRD,One of most important,Yes,yes,50,yes,50,111,50+
41,13,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$4000-4999,40,Working fulltime,MOST IMPT,Somewhat important,Yes,yes,60,yes,40,112,40-49
38,11,Male,Less than HS,Very dissatisfied,Not very satisfied,"25,000 to 39,999",$15000-17499,32,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,113,30-39
59,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$8000-9999,40,Working fulltime,NAP,One of most important,No,no,#NULL!,yes,#NULL!,114,50+
33,14,Female,High school,Very dissatisfied,Not very satisfied,"60,000 or more",$25000-29999,40,Working fulltime,THIRD,Very important,Yes,yes,50,yes,40,115,30-39
50,12,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$50000-59999,40,Working fulltime,FOURTH,One of most important,Yes,yes,40,yes,40,116,50+
51,14,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$40000-49999,40,Working fulltime,SECOND,Somewhat important,Yes,yes,40,yes,40,117,50+
60,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$25000-29999,40,Working fulltime,MOST IMPT,Very important,Yes,yes,45,yes,40,118,50+
41,17,Female,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,52,Working fulltime,NAP,One of most important,Yes,yes,39,yes,52,119,40-49
57,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,120,50+
50,12,Female,High school,Very satisfied,Very satisfied,"60,000 or more",REFUSED,35,Working fulltime,NAP,Not too important,Yes,yes,50,yes,35,121,50+
50,16,Female,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",REFUSED,15,Working fulltime,NAP,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,122,50+
34,16,Male,Bachelor,A little dissatisfied,Not very satisfied,"60,000 or more",REFUSED,55,Working fulltime,THIRD,One of most important,No,yes,#NULL!,no,#NULL!,123,30-39
47,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$25000-29999,55,Working fulltime,FOURTH,Very important,Yes,yes,50,yes,55,124,40-49
35,19,Male,Graduate,Very satisfied,Very satisfied,"25,000 to 39,999",$22500-24999,60,Working fulltime,FIFTH,Very important,No,yes,60,no,20,125,30-39
37,14,Male,Junior college,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,48,Working fulltime,THIRD,Somewhat important,No,yes,48,no,16,126,30-39
41,17,Female,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$35000-39999,NA,Working fulltime,NAP,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,127,40-49
27,14,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$30000-34999,60,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,128,18-29
27,16,Female,Bachelor,Mod satisfied,Not very satisfied,"25,000 to 39,999",$25000-29999,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,129,18-29
50,14,Male,Junior college,Mod satisfied,Not very satisfied,"60,000 or more",$50000-59999,65,Working fulltime,NAP,One of most important,No,yes,#NULL!,no,#NULL!,130,50+
28,16,Male,Bachelor,Very dissatisfied,Not very satisfied,"40,000 to 59,999",$30000-34999,40,Working fulltime,THIRD,Very important,Yes,yes,40,yes,40,131,18-29
31,16,Male,Bachelor,Very dissatisfied,Not very satisfied,"40,000 to 59,999",$20000-22499,40,Working fulltime,THIRD,One of most important,Yes,yes,40,yes,40,132,30-39
51,12,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,46,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,133,50+
41,11,Male,Less than HS,Mod satisfied,Not very satisfied,"24,999 or less",$12500-14999,40,Working fulltime,MOST IMPT,One of most important,Yes,yes,40,yes,36,134,40-49
26,15,Male,High school,Mod satisfied,Not very satisfied,"24,999 or less",$15000-17499,40,Working fulltime,NAP,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,135,18-29
43,16,Male,Bachelor,Mod satisfied,Not very satisfied,"60,000 or more",$75000+,40,Working fulltime,THIRD,One of most important,Yes,yes,40,yes,40,136,40-49
44,16,Male,Bachelor,Very satisfied,Very satisfied,"60,000 or more",$60000-74999,40,Working fulltime,FOURTH,Very important,No,yes,#NULL!,no,#NULL!,137,40-49
39,15,Male,High school,Very satisfied,Very satisfied,"60,000 or more",$40000-49999,50,Working fulltime,SECOND,Somewhat important,Yes,yes,50,yes,45,138,30-39
54,16,Female,Bachelor,Very satisfied,Very satisfied,"40,000 to 59,999",$35000-39999,40,Working fulltime,MOST IMPT,Very important,Yes,yes,20,yes,40,139,50+
47,14,Female,High school,Very satisfied,Very satisfied,"40,000 to 59,999",$40000-49999,40,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,140,40-49
47,18,Female,Graduate,Very satisfied,Very satisfied,"60,000 or more",REFUSED,40,Working fulltime,FIFTH,Very important,Yes,yes,40,yes,40,141,40-49
37,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$22500-24999,40,Working fulltime,SECOND,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,142,30-39
52,9,Female,Less than HS,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$20000-22499,59,Working fulltime,NAP,Not too important,No,#NULL!,#NULL!,#NULL!,#NULL!,143,50+
54,12,Female,High school,Mod satisfied,Not very satisfied,"24,999 or less",$20000-22499,40,Working fulltime,FOURTH,One of most important,No,#NULL!,#NULL!,#NULL!,#NULL!,144,50+
24,12,Female,High school,Mod satisfied,Not very satisfied,"60,000 or more",$25000-29999,44,Working fulltime,SECOND,Very important,Yes,yes,89,yes,44,145,18-29
43,13,Male,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,45,Working fulltime,FOURTH,Very important,No,yes,45,no,25,146,40-49
41,15,Male,High school,Mod satisfied,Not very satisfied,"60,000 or more",$35000-39999,40,Working fulltime,THIRD,One of most important,Yes,yes,40,yes,48,147,40-49
41,12,Female,High school,Very satisfied,Very satisfied,"25,000 to 39,999",$20000-22499,40,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,148,40-49
46,12,Female,High school,Very dissatisfied,Not very satisfied,"25,000 to 39,999",$10000-12499,40,Working fulltime,MOST IMPT,Very important,Yes,yes,35,yes,40,149,40-49
33,16,Male,Bachelor,Very satisfied,Very satisfied,"25,000 to 39,999",$25000-29999,45,Working fulltime,FOURTH,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,150,30-39
33,14,Female,Junior college,Very satisfied,Very satisfied,"24,999 or less",$12500-14999,80,Working fulltime,THIRD,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,151,30-39
45,12,Female,High school,Mod satisfied,Not very satisfied,"25,000 to 39,999",$10000-12499,40,Working fulltime,NAP,Very important,Yes,yes,50,yes,40,152,40-49
24,16,Male,Bachelor,Mod satisfied,Not very satisfied,"24,999 or less",$12500-14999,40,Working fulltime,SECOND,Very important,No,#NULL!,#NULL!,#NULL!,#NULL!,153,18-29
45,12,Male,High school,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$25000-29999,44,Working fulltime,SECOND,Very important,Yes,yes,44,yes,40,154,40-49
46,12,Female,High school,A little dissatisfied,Not very satisfied,"40,000 to 59,999",$40000-49999,50,Working fulltime,SECOND,Somewhat important,No,#NULL!,#NULL!,#NULL!,#NULL!,155,40-49
41,20,Female,Graduate,A little dissatisfied,Not very satisfied,"60,000 or more",$35000-39999,60,Working fulltime,NAP,Very important,Yes,yes,60,yes,60,156,40-49
37,18,Male,Graduate,Mod satisfied,Not very satisfied,"60,000 or more",$60000-74999,56,Working fulltime,MOST IMPT,Very important,Yes,yes,56,yes,60,157,30-39
36,14,Female,Junior college,Very satisfied,Very satisfied,"25,000 to 39,999",$10000-12499,41,Working fulltime,THIRD,Very important,Yes,yes,89,yes,41,158,30-39
